physical_unit_id	path	spot_count	index_fingerprint_sha256	fingerprint_status
external_geo::GSM5924042	data/GEO/GSE175540/raw/GSM5924042_frozen_a_1_tissue_positions_list.csv.gz	1451	98af6f3d08bdc400ec56100d7e31477393d914cacc858ba364b2778d4ce89f09	INDEX_VALUE_PINNED
external_geo::GSM5924043	data/GEO/GSE175540/raw/GSM5924043_frozen_a_3_tissue_positions_list.csv.gz	1439	4c4ef4a3cf2f82f695747dd4ba3ac016a068e5d24502131f56f11ad9cde1dbad	INDEX_VALUE_PINNED
external_geo::GSM5924044	data/GEO/GSE175540/raw/GSM5924044_frozen_a_15_tissue_positions_list.csv.gz	1983	ab543b0b0e12e443adea10df5219cbfc2c1367ce4c7a4f14946f37747a5b4047	INDEX_VALUE_PINNED
external_geo::GSM5924045	data/GEO/GSE175540/raw/GSM5924045_frozen_a_17_tissue_positions_list.csv.gz	1696	4a102921d09978b435152dc2745e724be331a840e1fc8b0bbd072cc350d1b392	INDEX_VALUE_PINNED
external_geo::GSM5924046	data/GEO/GSE175540/raw/GSM5924046_frozen_b_1_tissue_positions_list.csv.gz	1949	04876f48ca41ca4183c44373161b826cbb1a391c2a83f7324a422a46ed367ec2	INDEX_VALUE_PINNED
external_geo::GSM5924047	data/GEO/GSE175540/raw/GSM5924047_frozen_b_7_tissue_positions_list.csv.gz	2374	6810f1be471c08795b730d6b868552c3a231d98017f45c1a9fce4098f7604fe8	INDEX_VALUE_PINNED
external_geo::GSM5924048	data/GEO/GSE175540/raw/GSM5924048_frozen_b_13_tissue_positions_list.csv.gz	1678	9c6709fc3b627b93e21fdcfa5c91d8a3448ee79bb43c185ad43f69ed43b83173	INDEX_VALUE_PINNED
external_geo::GSM5924049	data/GEO/GSE175540/raw/GSM5924049_frozen_b_18_tissue_positions_list.csv.gz	1186	7da4ab2a87016c484d3c084c73519514ce9f0dfa49178ac7fab0d2b4f2b2d46c	INDEX_VALUE_PINNED
external_geo::GSM5924050	data/GEO/GSE175540/raw/GSM5924050_frozen_c_2_tissue_positions_list.csv.gz	1349	75c12cdde14f26c4c106acf0ea525cf29c73143161669b4af9ce74eeda33e738	INDEX_VALUE_PINNED
external_geo::GSM5924051	data/GEO/GSE175540/raw/GSM5924051_frozen_c_5_tissue_positions_list.csv.gz	2007	6c96498dfdf089a2bba5c18bfedb7c3bd67d683a45635d93093dc925aba19265	INDEX_VALUE_PINNED
external_geo::GSM5924052	data/GEO/GSE175540/raw/GSM5924052_frozen_c_23_tissue_positions_list.csv.gz	2580	b8ad97bbafb4df084a8e3c611a35576f80295ceab5219c2a3859f626564a7599	INDEX_VALUE_PINNED
external_geo::GSM5924053	data/GEO/GSE175540/raw/GSM5924053_frozen_c_57_tissue_positions_list.csv.gz	1084	4d7b63e29c9a2868fbb7f3d16171ba349ebad0f58d1856b02a1c1f2b27bf55c5	INDEX_VALUE_PINNED
