section	patient	focus	focus_size	half_hops	seed	pos_cov	mhc2_pos	b_pos	mhc2_neg_med	b_neg_med	mhc2_hit	b_hit	n_neg
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	15	10	3.0	33	0.312	0.5104	0.2593	0.9753	0.3713	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	15	10	5.0	11	0.184	0.5875	0.2675	0.7851	0.2912	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	15	10	5.0	22	0.184	0.5875	0.2675	1.7774	0.4533	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	15	10	5.0	33	0.184	0.5875	0.2675	0.2664	0.1943	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	15	10	8.0	11	0.186	0.6858	0.2816	0.6417	0.2804	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	15	10	8.0	22	0.186	0.6858	0.2816	1.1708	0.3383	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	15	10	8.0	33	0.186	0.6858	0.2816	0.9864	0.3723	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	16	19	3.0	11	0.562	1.0251	0.425	1.0396	0.3565	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	16	19	3.0	22	0.562	1.0251	0.425	0.901	0.3087	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	16	19	3.0	33	0.562	1.0251	0.425	1.1767	0.3581	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	16	19	5.0	11	0.214	1.0902	0.432	0.6845	0.2504	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	16	19	5.0	22	0.214	1.0902	0.432	1.146	0.3482	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	16	19	5.0	33	0.214	1.0902	0.432	1.2997	0.4163	False	True	4
