program	cohort	section	patient	baseline	mse_med	n_windows
P-smmhc	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	m2	0.01135	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	nn	0.06879	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	m1	0.02316	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	m2	0.02538	12
P-stress	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	nn	0.05305	12
P-stress	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	m1	0.02569	12
P-stress	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	m2	0.02548	12
P-epi	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	nn	0.07224	12
P-epi	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m1	0.03556	12
P-epi	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m2	0.03379	12
P-stromal	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	nn	0.21356	12
P-stromal	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m1	0.06124	12
P-stromal	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m2	0.05673	12
P-plasma	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	nn	0.06564	12
P-plasma	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m1	0.00789	12
P-plasma	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m2	0.0077	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	nn	0.3206	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m1	0.11667	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m2	0.14838	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	nn	0.16473	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m1	0.04908	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m2	0.04893	12
P-stress	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	nn	0.22636	12
P-stress	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m1	0.05516	12
P-stress	ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m2	0.06145	12
P-epi	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	nn	0.08051	11
P-epi	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m1	0.04443	11
P-epi	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m2	0.04081	11
P-stromal	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	nn	0.23189	11
P-stromal	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m1	0.05896	11
P-stromal	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m2	0.0568	11
P-plasma	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	nn	0.08822	11
P-plasma	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m1	0.01042	11
P-plasma	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m2	0.0104	11
P-smmhc	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	nn	0.26101	11
P-smmhc	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m1	0.12986	11
P-smmhc	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m2	0.13343	11
