asset_id	source_namespace	accession	source_sample_id	path	asset_type	format	bytes	checksum_status	checksum	processing_level	parent_asset_id	record_status
external_geo::GSE211956::series_soft	external_geo	GSE211956		infra/bioinf-data-index/raw/geo/GSE211956_series_quick.soft	series_soft	soft	2684	sha256_verified	1b38ffd14bba1bd1db2c3a23240c91595538457e51e34a8697181b5cec5ce094	metadata_only		active
external_geo::GSE226997::gsm_soft	external_geo	GSE226997		infra/bioinf-data-index/raw/geo/GSE226997_gsm_quick.soft	gsm_soft	soft	14292	sha256_verified	e6024af1e6ff304286b0040973e60a7bc95aa4f711405bb39c793110ea0ef3e2	metadata_only		active
external_geo::GSE226997::raw_tar_header	external_geo	GSE226997		data/GEO/GSE226997/GSE226997_RAW.tar	local_tar_header_locator	tar	44193679360	not_computed_large_local_locator		header_only		active
external_geo::GSE226997::series_soft	external_geo	GSE226997		infra/bioinf-data-index/raw/geo/GSE226997_series_quick.soft	series_soft	soft	1716	sha256_verified	95e687e785331d49cca197ac081af9483dd865d8cfac15fcced5085437b3dc52	metadata_only		active
external_geo::GSE274103::gsm_soft	external_geo	GSE274103		infra/bioinf-data-index/raw/geo/GSE274103_gsm_quick.soft	gsm_soft	soft	18056	sha256_verified	1d0094643d320f307e5f624f7282879fe71d5da6d40b57b45b3c0a0a338bc9b9	metadata_only		active
external_geo::GSE274103::raw_tar_header	external_geo	GSE274103		data/GEO/GSE274103/GSE274103_RAW.tar	local_tar_header_locator	tar	186603520	not_computed_large_local_locator		header_only		active
external_geo::GSE274103::series_soft	external_geo	GSE274103		infra/bioinf-data-index/raw/geo/GSE274103_series_quick.soft	series_soft	soft	2031	sha256_verified	4b1839a49e0db73b22e8aa80059a86bde2e0ee9fd0f076a5e055c94bc51565b3	metadata_only		active
external_geo::GSE274557::gsm_soft	external_geo	GSE274557		infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	gsm_soft	soft	223018	sha256_verified	28484de7dd88091ec8925ec3fd46012381b4b6d73d61c3594b79230e644db214	metadata_only		active
external_geo::GSE274557::raw_tar_header	external_geo	GSE274557		data/GEO/GSE274557/GSE274557_RAW.tar	local_tar_header_locator	tar	6738790400	not_computed_large_local_locator		header_only		active
external_geo::GSE274557::series_soft	external_geo	GSE274557		infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	series_soft	soft	4348	sha256_verified	22abdf5d8a9c148a7967b57a106634d8064e2597e9eb85f72c1c78d21604904b	metadata_only		active
