program	patient	section	n_spots	gene_coverage	moran_raw	moran_resid_Q	moran_resid_QC	status
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_3_filtered_trimmed.h5ad	2997	3/3	0.9039	0.5319	0.2892	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_3_filtered_trimmed.h5ad	2997	2/2	0.7726	0.3351	0.0726	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_3_filtered_trimmed.h5ad	2997	2/2	0.7188	0.5974	0.3716	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_4_filtered_trimmed.h5ad	3934	16/16	0.8974	0.533	0.3538	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_4_filtered_trimmed.h5ad	3934	9/9	0.5107	0.3295	0.1779	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_4_filtered_trimmed.h5ad	3934	11/11	0.7736	0.4519	0.268	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_4_filtered_trimmed.h5ad	3934	3/3	0.3922	0.1544	0.0784	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_4_filtered_trimmed.h5ad	3934	2/2	0.6706	0.3892	0.1092	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_4_filtered_trimmed.h5ad	3934	2/2	0.8056	0.5432	0.5151	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8270_AS_11_filtered_trimmed.h5ad	4418	16/16	0.6853	0.3659	0.2776	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8270_AS_11_filtered_trimmed.h5ad	4418	9/9	0.5496	0.5058	0.1869	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8270_AS_11_filtered_trimmed.h5ad	4418	11/11	0.723	0.6994	0.283	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8270_AS_11_filtered_trimmed.h5ad	4418	3/3	0.4371	0.3248	0.0762	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8270_AS_11_filtered_trimmed.h5ad	4418	2/2	0.5621	0.3644	0.2659	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8270_AS_11_filtered_trimmed.h5ad	4418	2/2	0.5543	0.5486	0.4079	OK
