go_id	raw_size	covered_size	n_input	n_readout	representative
GOBP_ANDROGEN_CATABOLIC_PROCESS	5	5	3	2	GOBP_ANDROGEN_CATABOLIC_PROCESS
GOBP_ANDROGEN_METABOLIC_PROCESS	30	18	9	9	GOBP_ANDROGEN_METABOLIC_PROCESS
GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	52	16	8	8	GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY
GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING	33	20	10	10	GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING
GOBP_ANGIOTENSIN_ACTIVATED_SIGNALING_PATHWAY	23	12	6	6	GOBP_ANGIOTENSIN_ACTIVATED_SIGNALING_PATHWAY
GOBP_ANIMAL_ORGAN_FORMATION	69	42	21	21	GOBP_ANIMAL_ORGAN_FORMATION
GOBP_ANIMAL_ORGAN_MATURATION	32	22	11	11	GOBP_ANIMAL_ORGAN_MATURATION
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	1038	608	304	304	GOBP_ANIMAL_ORGAN_MORPHOGENESIS
GOBP_ANIMAL_ORGAN_REGENERATION	53	31	16	15	GOBP_ANIMAL_ORGAN_REGENERATION
GOBP_ANOIKIS	36	16	8	8	GOBP_ANOIKIS
GOBP_ANTERIOR_COMMISSURE_MORPHOGENESIS	7	5	3	2	GOBP_ANTERIOR_COMMISSURE_MORPHOGENESIS
GOBP_ANTERIOR_HEAD_DEVELOPMENT	7	4	2	2	GOBP_ANTERIOR_HEAD_DEVELOPMENT
GOBP_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION	60	33	17	16	GOBP_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION
GOBP_ANTERIOR_POSTERIOR_AXON_GUIDANCE	7	7	4	3	GOBP_ANTERIOR_POSTERIOR_AXON_GUIDANCE
GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	224	131	66	65	GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION
GOBP_ANTEROGRADE_AXONAL_TRANSPORT	47	19	10	9	GOBP_ANTEROGRADE_AXONAL_TRANSPORT
GOBP_ANTEROGRADE_DENDRITIC_TRANSPORT	11	5	3	2	GOBP_ANTEROGRADE_DENDRITIC_TRANSPORT
GOBP_ANTEROGRADE_DENDRITIC_TRANSPORT_OF_NEUROTRANSMITTER_RECEPTOR_COMPLEX	7	5	3	2	GOBP_ANTEROGRADE_DENDRITIC_TRANSPORT
